rawsum,joint_angle,
1973,144.7322581,
1971,146.451071,
1980,148.169884,
2015,149.8886969,
1973,153.3263228,
1940,155.4342083,
1868,157.5420938,
1785,159.6499794,
1635,161.7578649,
1369,165.973636,
1081,165.61614,
772,165.2586441,
452,164.9011481,
188,164.5436522,
55,163.8286603,
0,163.6274794,
0,163.4262985,
0,163.2251176,
0,163.0239367,
0,162.6215749,
0,162.2018071,
0,161.7820393,
0,161.3622716,
0,160.5227361,
0,160.2320696,
0,159.9414032,
0,159.6507367,
0,159.3600703,
0,158.7787374,
0,157.5054319,
0,156.2321263,
0,154.9588208,
0,153.6855152,
0,151.1389042,
0,150.7573738,
0,150.3758434,
0,149.994313,
0,149.6127827,
0,148.8497219,
0,145.222195,
0,141.5946682,
0,137.9671413,
0,134.3396144,
0,127.0845607,
0,126.4594021,
0,125.8342434,
0,125.2090848,
0,123.9587675,
0,123.9094413,
0,123.860115,
0,123.8107888,
0,123.7614625,
0,123.7121363,
0,123.6134838,
0,123.9730093,
0,124.3325348,
0,124.6920603,
0,125.0515858,
0,125.7706368,
0,126.5549089,
0,127.339181,
91,128.1234531,
407,128.9077252,
673,130.4762694,
997,132.5929181,
1249,134.7095669,
1502,136.8262157,
1761,138.9428644,
1991,143.176162,
2234,143.3943048,
2418,143.6124476,
2568,143.8305905,
2677,144.0487333,
2666,144.485019,
2661,146.64085,
2609,148.7966809,
2506,150.9525118,
2333,153.1083428,
2154,157.4200046,
1932,157.4080108,
1735,157.3960169,
1545,157.384023,
1377,157.3720292,
1181,157.3480414,
1142,156.9672958,
1073,156.5865502,
969,156.2058045,
923,155.8250589,
914,155.0635676,
1039,154.9084656,
863,154.7533636,
981,154.5982616,
970,154.4431596,
945,154.1329555,
1071,153.0382977,
1305,151.94364,
1361,150.8489822,
1447,149.7543244,
1486,147.5650089,
1481,148.4570165,
1587,149.3490242,
1647,150.2410318,
1734,151.1330394,
1801,152.9170547,
1851,152.5304586,
1915,152.1438625,
1973,151.7572664,
2072,150.9840742,
2078,152.3730526,
2165,153.7620311,
2243,155.1510095,
2397,156.5399879,
2340,159.3179447,
2279,159.7455683,
2195,160.1731919,
2133,160.6008155,
1741,161.028439,
1511,161.8836862,
1264,161.9067011,
990,161.929716,
622,161.9527308,
363,161.9757457,
169,162.0217755,
26,162.3996132,
0,162.777451,17.222549
0,163.1552887,16.8447113
0,163.5331265,16.4668735
0,164.288802,15.711198
0,164.1552768,15.8447232
0,164.0217516,15.9782484
0,163.8882264,16.1117736
0,163.621176,16.378824
0,163.4574703,16.5425297
0,163.2937645,16.7062355
0,163.1300588,16.8699412
0,162.966353,17.033647
0,162.6389415,17.3610585
0,161.3399131,18.6600869
0,160.0408848,19.9591152
0,158.7418564,21.2581436
0,156.1437997,23.8562003
0,155.2393131,24.7606869
0,154.3348265,25.6651735
0,153.4303398,26.5696602
0,152.5258532,27.4741468
0,150.71688,29.28312
0,150.1338412,29.8661588
0,149.5508025,30.4491975
0,148.9677638,31.0322362
0,148.384725,31.615275
0,147.2186476,32.7813524
0,144.1933473,35.8066527
0,141.1680471,38.8319529
0,138.1427468,41.8572532
0,135.1174466,44.8825534
0,129.0668461,50.9331539
0,128.3425497,51.6574503
0,127.6182534,52.3817466
0,126.8939571,53.1060429
0,125.4453644,54.5546356
0,125.2615478,54.7384522
0,125.0777312,54.9222688
0,124.8939146,55.1060854
0,124.710098,55.289902
0,124.3424647,55.6575353
0,125.0889482,54.9110518
0,125.8354317,54.1645683
0,126.5819152,53.4180848
0,127.3283987,52.6716013
0,128.8213657,51.1786343
117,130.6715019,49.3284981
337,132.5216381,47.4783619
529,134.3717743,45.6282257
736,136.2219106,43.7780894
928,139.922183,40.077817
1168,140.8427274,39.1572726
1325,141.7632717,38.2367283
1507,142.6838161,37.3161839
1673,144.5249048,35.4750952
1829,147.3119082,32.6880918
1956,150.0989115,29.9010885
2067,152.8859149,27.1140851
2153,155.6729182,24.3270818
2263,161.246925,18.753075
2285,161.3157426,18.6842574
2313,161.3845603,18.6154397
2291,161.453378,18.546622
2210,161.5221956,18.4778044
2079,161.659831,18.340169
1933,162.0738516,17.9261484
1836,162.4878723,17.5121277
1687,162.901893,17.098107
1539,163.3159136,16.6840864
1425,164.143955,15.856045
1339,163.3927328,16.6072672
1256,162.6415106,17.3584894
1129,161.8902885,18.1097115
1168,161.1390663,18.8609337
1168,159.636622,20.363378
1183,159.2323982,20.7676018
1119,158.8281744,21.1718256
1071,158.4239507,21.5760493
1059,158.0197269,21.9802731
1100,157.2112794,22.7887206
1107,155.6675767,24.3324233
1133,154.123874,25.876126
1122,152.5801713,27.4198287
1278,151.0364686,28.9635314
1236,147.9490633,32.0509367
1390,148.4876973,31.5123027
1488,149.0263313,30.9736687
1485,149.5649653,30.4350347
1555,150.1035994,29.8964006
1672,151.1808674,28.8191326
1833,151.5846391,28.4153609
1876,151.9884107,28.0115893
1964,152.3921824,27.6078176
2006,152.7959541,27.2040459
2031,153.6034974,26.3965026
2089,154.0133645,25.9866355
2094,154.4232316,25.5767684
2115,154.8330987,25.1669013
2111,155.6528329,24.3471671
2056,156.9260866,23.0739134
1925,158.1993404,21.8006596
1758,159.4725942,20.5274058
1524,160.745848,19.254152
1200,163.2923555,16.7076445
981,164.3991691,15.6008309
658,165.5059826,14.4940174
370,166.6127962,13.3872038
135,167.7196098,12.2803902
29,169.9332369,10.0667631
0,169.5755436,10.4244564
0,169.2178503,10.7821497
0,168.860157,11.139843
0,168.5024637,11.4975363
0,167.7870771,12.2129229
0,167.4149759,12.5850241
0,167.0428747,12.9571253
0,166.6707735,13.3292265
0,166.2986723,13.7013277
0,165.5544698,14.4455302
0,165.557525,14.442475
0,165.5605802,14.4394198
0,165.5636354,14.4363646
0,165.5697458,14.4302542
0,163.9773695,16.0226305
0,162.3849932,17.6150068
0,160.7926169,19.2073831
0,157.6078643,22.3921357
0,157.3331572,22.6668428
0,157.0584501,22.9415499
0,156.7837429,23.2162571
0,156.5090358,23.4909642
0,155.9596215,24.0403785
0,153.300214,26.699786
0,150.6408066,29.3591934
0,147.9813991,32.0186009
0,145.3219917,34.6780083
0,140.0031768,39.9968232
0,138.6310439,41.3689561
0,137.2589111,42.7410889
0,135.8867782,44.1132218
0,134.5146454,45.4853546
0,131.7703797,48.2296203
0,131.7906905,48.2093095
0,131.8110014,48.1889986
0,131.8313122,48.1686878
0,131.851623,48.148377
0,131.8922447,48.1077553
0,131.7307129,48.2692871
0,131.5691812,48.4308188
